timestamp,ecg_measurement
251536000,5.5175
251540000,5.5175
251544000,5.5175
251548000,5.5175
251552000,5.515
251556000,5.5075
251560000,5.51
251564000,5.5175
251568000,5.52875
251572000,5.52375
251576000,5.51125
251580000,5.50125
251584000,5.5225
251588000,5.5775
251592000,5.67625
251596000,5.79625
251600000,5.9325
251604000,6.05375
251608000,6.1375
251612000,6.155
251616000,6.08625
251620000,5.9575
251624000,5.82625
251628000,5.71625
251632000,5.65
251636000,5.60375
251640000,5.58125
251644000,5.56375
251648000,5.54875
251652000,5.5275
251656000,5.505
251660000,5.51
251664000,5.5075
251668000,5.50875
251672000,5.5
251676000,5.49125
251680000,5.48625
251684000,5.48875
251688000,5.48875
251692000,5.48875
251696000,5.49125
251700000,5.48625
251704000,5.495
251708000,5.50625
251712000,5.51125
251716000,5.50875
251720000,5.50625
251724000,5.51375
251728000,5.52375
251732000,5.53375
251736000,5.5375
251740000,5.53625
251744000,5.53125
251748000,5.53
251752000,5.53125
251756000,5.53875
251760000,5.5425
251764000,5.55125
251768000,5.555
251772000,5.5575
251776000,5.55375
251780000,5.555
251784000,5.56125
251788000,5.56875
251792000,5.5825
251796000,5.585
251800000,5.5825
251804000,5.585
251808000,5.59375
251812000,5.59625
251816000,5.5975
251820000,5.59375
251824000,5.59125
251828000,5.59625
251832000,5.5925
251836000,5.58625
251840000,5.59125
251844000,5.59625
251848000,5.59875
251852000,5.595
251856000,5.59125
251860000,5.58625
251864000,5.59125
251868000,5.58875
251872000,5.58375
251876000,5.57875
251880000,5.5725
251884000,5.5675
251888000,5.56875
251892000,5.56125
251896000,5.555
251900000,5.5475
251904000,5.54875
251908000,5.55125
251912000,5.54625
